record_id,offense,incident_id,block_number,street_name,agency,date_reported,hour_reported,reporting_officer,address,lon,lat
3400,Misc - Criminal Call,202300018456,100,"14TH ST NW, 1",CPD,2023-06-03T21:35:46Z,1735,"Curry, Brian","100 14TH ST NW, 1 Charlottesville VA",-78.4993999,38.03418449999999
3401,Misc - Criminal Call,202300018452,500,E MARKET ST,CPD,2023-06-03T20:51:55Z,1651,"Bentz, Benjamin ",500 E MARKET ST Charlottesville VA,-78.477767,38.030349
3402,Weapons Violations,202300018451,500,CHERRY AVE,CPD,2023-06-03T19:13:45Z,1513,"Hamill, Annmarie",500 CHERRY AVE Charlottesville VA,-78.4909553,38.0260508
3403,Larceny - From Motor Vehicle,202380000415,600,NORTHWOOD AVE,CPD,2023-06-03T15:00:25Z,1100,"Miller, Tiffany ",600 NORTHWOOD AVE Charlottesville VA,-78.47788059999999,38.0359994
3404,Death Investigation - DOA,202300018441,1300,GROVE RD,CPD,2023-06-03T14:09:13Z,1009,"Hopiane, Sayd",1300 GROVE RD Charlottesville VA,-78.4714937,38.0543618
3405,Larceny - From Motor Vehicle,202300018422,100,W MARKET ST,CPD,2023-06-03T06:59:42Z,0259,"Wells, Matthew",100 W MARKET ST Charlottesville VA,-78.4825371,38.0319643
3406,Missing Person-juvenile,202300018417,1300,"CARLTON AVE, 306",CPD,2023-06-03T04:56:01Z,0056,"Wood, Trevis","1300 CARLTON AVE, 306 Charlottesville VA",-78.4693363,38.0220596
3407,Driving Under the Influence,202300018407,100,MINOR RD,CPD,2023-06-03T03:49:25Z,2349,"Payne, Katherine",100 MINOR RD Charlottesville VA,-78.5115713,38.0395784
3408,Assist Citizen - Mental/TDO/ECO,202300018406,1200,LEE ST,CPD,2023-06-03T03:32:57Z,2332,"Wood, Trevis",1200 LEE ST Charlottesville VA,-78.4985288,38.0318629
3409,Lost/FoundProperty,202300018394,600,PROSPECT AVE,CPD,2023-06-03T01:56:03Z,2156,"Aguilera, Natalia",600 PROSPECT AVE Charlottesville VA,-78.4950757,38.025189
3411,Hit and Run,202300018361,500,W MAIN ST,CPD,2023-06-02T20:40:35Z,1640,"Aguilera, Natalia",500 W MAIN ST Charlottesville VA,-78.4879119,38.0307934
3412,Lost/FoundProperty,202300018356,400,W MAIN ST,CPD,2023-06-02T19:52:15Z,1552,"Lucas, Todd",400 W MAIN ST Charlottesville VA,-78.4867153,38.0304408
3413,Assault Intimidation,202300018355,1000,HOLMES AVE,CPD,2023-06-02T19:47:42Z,1547,"Eckenroth, Rachel",1000 HOLMES AVE Charlottesville VA,-78.46511919999999,38.0428755
3414,Fraud-credit card,202300018350,500,CLEVELAND AVE,CPD,2023-06-02T18:52:58Z,1452,"Green, Bryan",500 CLEVELAND AVE Charlottesville VA,-78.498393,38.017032
3415,Lost/FoundProperty,202300018349,1600,AVON STREET EXT,CPD,2023-06-02T18:48:20Z,1448,"Darby, Michael",1600 AVON STREET EXT Charlottesville VA,-78.4936639,38.0057105
3416,Assist Citizen - Mental/TDO/ECO,202300018344,500,PARK ST,CPD,2023-06-02T17:39:50Z,1339,"Eckenroth, Rachel",500 PARK ST Charlottesville VA,-78.4757716,38.0330367
3417,Accident - w/out Injuries,202300018345,700,MCINTIRE RD,CPD,2023-06-02T17:39:13Z,1339,"Hopiane, Sayd",700 MCINTIRE RD Charlottesville VA,-78.4777474,38.0385158
3418,Hit and Run,202300018343,800,CHERRY AVE,CPD,2023-06-02T17:33:37Z,1333,"Darby, Michael",800 CHERRY AVE Charlottesville VA,-78.4933842,38.0283131
3419,Domestic Disturbance,202300018336,700,"PROSPECT AVE, H",CPD,2023-06-02T16:19:18Z,1219,"Green, Bryan","700 PROSPECT AVE, H Charlottesville VA",-78.49439579999999,38.0246386
3420,Larceny - All Other,202300018339,800,WEST ST,CPD,2023-06-02T16:15:51Z,1215,"Eckenroth, Rachel",800 WEST ST Charlottesville VA,-78.48915730000002,38.0355232
3421,Misc - Criminal Call,202300018335,2600,JEFFERSON PARK CIR,CPD,2023-06-02T16:10:12Z,1210,"Eckenroth, Rachel",2600 JEFFERSON PARK CIR Charlottesville VA,-78.51663359999999,38.0170388
3422,Larceny - All Other,202300018323,1600,CHERRY AVE,CPD,2023-06-02T13:44:45Z,0944,"Green, Bryan",1600 CHERRY AVE Charlottesville VA,-78.5065517,38.023772
3423,Larceny - All Other,202300018316,700,"PROSPECT AVE, D",CPD,2023-06-02T12:18:35Z,0818,"Green, Bryan","700 PROSPECT AVE, D Charlottesville VA",-78.49439579999999,38.0246386
3424,Hit and Run,202300018315,700,MAPLE ST,CPD,2023-06-02T12:16:35Z,0816,"Eckenroth, Rachel",700 MAPLE ST Charlottesville VA,-78.4754225,38.0326031
3425,Assault Aggravated,202300018299,2000,"MORTON DR, M7",CPD,2023-06-02T05:31:54Z,0131,"Wells, Matthew","2000 MORTON DR, M7 Charlottesville VA",-78.494773,38.0559659
3426,Domestic Disturbance,202300018294,800,"ROSE HILL DR, 1",CPD,2023-06-02T04:37:31Z,0037,"Headley, Someya","800 ROSE HILL DR, 1 Charlottesville VA",-78.48674369999999,38.0383442
3427,Larceny - All Other,202300018278,700,RIDGE ST,CPD,2023-06-02T01:58:37Z,2158,"Lowe, Courteny",700 RIDGE ST Charlottesville VA,-78.4898523,38.0245196
3428,Domestic Disturbance,202300018276,1200,AVON ST,CPD,2023-06-02T01:29:29Z,2129,"Bentz, Benjamin ",1200 AVON ST Charlottesville VA,-78.4819656,38.020494
3430,Vandalism,202380000414,2100,BARRACKS RD,CPD,2023-06-01T19:04:47Z,1504,"Miller, Tiffany ",2100 BARRACKS RD Charlottesville VA,-78.499113,38.052787
3431,Larceny - All Other,202300018241,100,"CARROLLTON TER, 5",CPD,2023-06-01T18:54:26Z,1454,"Burnett, James","100 CARROLLTON TER, 5 Charlottesville VA",-78.5103421,38.0280673
3432,Larceny - Theft from Building,202380000413,800,"CABELL AVE, D",CPD,2023-06-01T18:51:47Z,1451,"Miller, Tiffany ","800 CABELL AVE, D Charlottesville VA",-78.4964411,38.0423574
3433,Suspicious Activity,202300018246,700,STONEHENGE AVE,CPD,2023-06-01T18:51:29Z,1451,"Green, Bryan",700 STONEHENGE AVE Charlottesville VA,-78.4823571,38.01865919999999
3434,Fraud-false pretense,202300018248,200,RIDGE ST,CPD,2023-06-01T18:39:32Z,1439,"Aguilera, Natalia",200 RIDGE ST Charlottesville VA,-78.4855597,38.029522299999996
3435,Suspicious Activity,202300018235,1100,WERTLAND ST,CPD,2023-06-01T18:10:26Z,1410,"Perkins, Ceaser",1100 WERTLAND ST Charlottesville VA,-78.4957713,38.0340578
3436,Lost/FoundProperty,202300018222,600,E MARKET ST,CPD,2023-06-01T16:08:40Z,1208,"Barbour, Tremaine",600 E MARKET ST Charlottesville VA,-78.4774516,38.0304104
3437,Vandalism,202380000412,900,GRADY AVE,CPD,2023-06-01T15:31:43Z,1131,"Miller, Tiffany ",900 GRADY AVE Charlottesville VA,-78.4914878,38.0378772
3438,Vandalism,202380000411,1900,CHESAPEAKE ST,CPD,2023-06-01T13:52:21Z,0952,"Miller, Tiffany ",1900 CHESAPEAKE ST Charlottesville VA,-78.45592649999999,38.0228529
3439,Fraud-false pretense,202380000410,300,"4TH ST NE, 2nd Floor",CPD,2023-06-01T13:43:49Z,0943,"Miller, Tiffany ","300 4TH ST NE, 2nd Floor Charlottesville VA",-78.47854699999999,38.0315787
3440,Vandalism,202300018218,700,PROSPECT AVE,CPD,2023-06-01T12:41:55Z,0841,"Green, Bryan",700 PROSPECT AVE Charlottesville VA,-78.49439579999999,38.0246386
3441,Larceny - From Motor Vehicle,202380000409,1000,LINDEN AVE,CPD,2023-06-01T12:24:35Z,0824,"Miller, Tiffany ",1000 LINDEN AVE Charlottesville VA,-78.4700359,38.0142389
3442,Larceny - All Other,202300018208,300,"4TH ST SE, 1",CPD,2023-06-01T12:00:00Z,0800,"Green, Bryan","300 4TH ST SE, 1 Charlottesville VA",-78.4795336,38.0287185
3443,Assault Simple,202300018182,600,E MAIN ST,CPD,2023-06-01T04:52:07Z,0052,"Headley, Someya",600 E MAIN ST Charlottesville VA,-78.4776363,38.0295656
3444,Shots Fired/Illegal Hunting,202300018164,1000,FOREST HILLS AVE,CPD,2023-06-01T01:55:09Z,2155,"Darby, Michael",1000 FOREST HILLS AVE Charlottesville VA,-78.49573509999999,38.025324
3445,Fraud-credit card,202300018162,1200,EMMET ST N,CPD,2023-06-01T01:36:56Z,2136,"Aguilera, Natalia",1200 EMMET ST N Charlottesville VA,-78.4985906,38.0529166
3446,Larceny - All Other,202300018154,1800,"JEFFERSON PARK AVE, 403",CPD,2023-06-01T00:56:29Z,2056,"Aguilera, Natalia","1800 JEFFERSON PARK AVE, 403 Charlottesville VA",-78.5094479,38.0286622
3447,Larceny - Shoplifitng,202300018128,900,EMMET ST N,CPD,2023-05-31T19:20:02Z,1520,"Bentz, Benjamin ",900 EMMET ST N Charlottesville VA,-78.502983,38.048586
3448,Larceny - Theft from Building,202380000408,800,DALE AVE,CPD,2023-05-31T18:54:19Z,1454,"Miller, Tiffany ",800 DALE AVE Charlottesville VA,-78.48697589999999,38.0369306
3449,Unauthorized Use of Motor Veh,202300018110,200,14TH ST NW,CPD,2023-05-31T15:34:19Z,1134,"Turner, Devon",200 14TH ST NW Charlottesville VA,-78.4988791,38.0348108
3450,Hit and Run,202300018116,100,ELLIEWOOD AVE,CPD,2023-05-31T15:11:51Z,1111,"Burnett, James",100 ELLIEWOOD AVE Charlottesville VA,-78.5005709,38.0363092
3451,Larceny - From Motor Vehicle,202380000407,2100,MICHIE DR,CPD,2023-05-31T14:07:00Z,1007,"Miller, Tiffany ",2100 MICHIE DR Charlottesville VA,-78.483828,38.062986
3452,Assault Simple,202300018097,1300,"CARLTON AVE, 104",CPD,2023-05-31T13:59:44Z,0959,"Shiflett, Tammy","1300 CARLTON AVE, 104 Charlottesville VA",-78.4693363,38.0220596
3453,Motor Vehicle Theft,202300018122,400,13TH ST NW,CPD,2023-05-31T13:13:04Z,0913,"Burnett, James",400 13TH ST NW Charlottesville VA,-78.4968011,38.0368734
3455,Assault Aggravated,202300018087,400,AVON ST,CPD,2023-05-31T12:39:12Z,0839,"Pendleton, Eric",400 AVON ST Charlottesville VA,-78.4773719,38.0266214
3456,Larceny - From Motor Vehicle,202300018086,2000,INDIA RD,CPD,2023-05-31T12:13:53Z,0813,"Stein, Nathan",2000 INDIA RD Charlottesville VA,-78.4879016,38.0623473
3457,Burglary,202300018084,1700,ALLIED ST,CPD,2023-05-31T12:12:36Z,0812,"Turner, Devon",1700 ALLIED ST Charlottesville VA,-78.4784684,38.0407249
3458,Motor Vehicle Theft,202300018083,400,ALTAMONT CIR,CPD,2023-05-31T11:49:20Z,0749,"Shiflett, Tammy",400 ALTAMONT CIR Charlottesville VA,-78.4813437,38.0334859
3459,Larceny - From Motor Vehicle,202300018077,300,CARLTON RD,CPD,2023-05-31T10:54:38Z,0654,"Lowry, Brent",300 CARLTON RD Charlottesville VA,-78.4698885,38.0223962
3460,Unauthorized Use of Motor Veh,202300018043,800,ANDERSON ST,CPD,2023-05-31T00:45:19Z,2045,"Darby, Michael",800 ANDERSON ST Charlottesville VA,-78.4899564,38.034827
3461,Burglary,202300018041,200,14TH ST NW,CPD,2023-05-31T00:22:41Z,2022,"Lowe, Courteny",200 14TH ST NW Charlottesville VA,-78.4988791,38.0348108
3462,Unauthorized Use of Motor Veh,202300018030,300,"15TH ST NW, 4011",CPD,2023-05-30T22:22:34Z,1822,"Lowe, Courteny","300 15TH ST NW, 4011 Charlottesville VA",-78.49937249999999,38.03632109999999
3463,Misc - Criminal Call,202300018021,800,"HARDY DR, B",CPD,2023-05-30T21:13:12Z,1713,"Darby, Michael","800 HARDY DR, B Charlottesville VA",-78.4904109,38.0332508
3464,Burglary,202300018014,200,CAMELIA DR,CPD,2023-05-30T20:02:08Z,1602,"Jones, Mark",200 CAMELIA DR Charlottesville VA,-78.5109524,38.0139652
3466,Fraud-credit card,202300018010,200,BURNET ST,CPD,2023-05-30T19:15:11Z,1515,"Perkins, Ceaser",200 BURNET ST Charlottesville VA,-78.4872692,38.0250603
3467,Motor Vehicle Theft,202300018004,200,"15TH ST NW, 402",CPD,2023-05-30T18:25:04Z,1425,"Burnett, James","200 15TH ST NW, 402 Charlottesville VA",-78.49955609999999,38.035153
3468,Larceny - Shoplifitng,202300018001,1100,EMMET ST N,CPD,2023-05-30T17:34:14Z,1334,"Hopiane, Sayd",1100 EMMET ST N Charlottesville VA,-78.50152299999999,38.0516392
3469,Vandalism,202300017980,900,"2ND ST SE, 309",CPD,2023-05-30T15:14:14Z,1114,"Perkins, Ceaser","900 2ND ST SE, 309 Charlottesville VA",-78.4826953,38.0264177
3470,Vandalism,202380000405,300,9TH ST SW,CPD,2023-05-30T14:47:27Z,1047,"Moje, Ashley",300 9TH ST SW Charlottesville VA,-78.4947181,38.0300372
3471,Larceny - Shoplifitng,202300017972,1000,W MAIN ST,CPD,2023-05-30T13:53:29Z,0953,"Burnett, James",1000 W MAIN ST Charlottesville VA,-78.4952169,38.0323477
3472,Trespass,202300017969,900,KING ST,CPD,2023-05-30T13:00:33Z,0900,"Nash, Darius",900 KING ST Charlottesville VA,-78.4954747,38.0296064
3473,Assault Simple,202300017960,2500,"FONTAINE AVE, B",CPD,2023-05-30T11:36:06Z,0736,"Samar, Jack","2500 FONTAINE AVE, B Charlottesville VA",-78.5207736,38.0261139
3474,Larceny - All Other,202300017952,600,"12TH ST NW, B",CPD,2023-05-30T06:10:26Z,0210,"O'Briant, Landon","600 12TH ST NW, B Charlottesville VA",-78.4942904,38.0394456
3475,Driving Under the Influence,202300017934,300,MEADE AVE,CPD,2023-05-30T02:08:29Z,2208,"Vlasis, Christopher",300 MEADE AVE Charlottesville VA,-78.4660976,38.0277592
3476,Assault Simple,202300017917,200,CARLTON RD,CPD,2023-05-29T22:55:23Z,1855,"Vlasis, Christopher",200 CARLTON RD Charlottesville VA,-78.4686674,38.0236016
3477,Larceny - From Motor Vehicle,202380000404,1000,DRUID AVE,CPD,2023-05-29T18:50:32Z,1450,"Moje, Ashley",1000 DRUID AVE Charlottesville VA,-78.4777474,38.0172974
3478,Death Investigation - DOA,202300017903,800,"E JEFFERSON ST, B",CPD,2023-05-29T16:46:35Z,1246,"Shiflett, Tammy","800 E JEFFERSON ST, B Charlottesville VA",-78.4754165,38.0307983
3479,Suspicious Activity,202300017898,1100,EMMET ST N,CPD,2023-05-29T15:13:21Z,1113,"Hunt, Troy",1100 EMMET ST N Charlottesville VA,-78.50152299999999,38.0516392
3480,Vandalism,202300017896,700,LOCUST AVE,CPD,2023-05-29T14:27:29Z,1027,"Shiflett, Tammy",700 LOCUST AVE Charlottesville VA,-78.4693557,38.0340949
3481,Assault Simple,202300017891,1000,PRESTON AVE,CPD,2023-05-29T09:05:47Z,0505,"O'Briant, Landon",1000 PRESTON AVE Charlottesville VA,-78.49163329999999,38.0391546
3482,Larceny - Of Veh Parts/Access,202300017889,1100,E MARKET ST,CPD,2023-05-29T07:20:45Z,0320,"Marshall, Shawn",1100 E MARKET ST Charlottesville VA,-78.47211039999999,38.0279199
3483,Assault Simple,202300017876,900,W MAIN ST,CPD,2023-05-29T02:37:05Z,2237,"O'Briant, Landon",900 W MAIN ST Charlottesville VA,-78.49439,38.032188
3484,Larceny - All Other,202380000403,800,"CABELL AVE, H",CPD,2023-05-29T00:55:31Z,2055,"Moje, Ashley","800 CABELL AVE, H Charlottesville VA",-78.4964411,38.0423574
3485,Larceny - Theft from Building,202380000402,800,ANDERSON ST,CPD,2023-05-28T19:10:26Z,1510,"Moje, Ashley",800 ANDERSON ST Charlottesville VA,-78.4899564,38.034827
3486,Larceny - Theft from Building,202380000401,1200,"WERTLAND ST, Unit 1",CPD,2023-05-28T17:35:40Z,1335,"Moje, Ashley","1200 WERTLAND ST, Unit 1 Charlottesville VA",-78.49652979999999,38.0341648
3487,Larceny - Shoplifitng,202300017837,1100,EMMET ST N,CPD,2023-05-28T16:20:17Z,1220,"Hopiane, Sayd",1100 EMMET ST N Charlottesville VA,-78.50152299999999,38.0516392
3488,Accident - w/out Injuries,202300017834,1900,BRANDYWINE DR,CPD,2023-05-28T15:55:50Z,1155,"Hopiane, Sayd",1900 BRANDYWINE DR Charlottesville VA,-78.4767706,38.0634239
3489,Misc - Non-Criminal Call,202300017823,1000,"GRADY AVE, B",CPD,2023-05-28T12:34:55Z,0834,"Houchens, Jamell","1000 GRADY AVE, B Charlottesville VA",-78.4916635,38.0385116
3490,Shots Fired/Illegal Hunting,202300017820,900,6TH ST SE,CPD,2023-05-28T12:19:05Z,0819,"Eckenroth, Rachel",900 6TH ST SE Charlottesville VA,-78.4818581,38.0235298
3491,Shots Fired/Illegal Hunting,202300017810,300,E MAIN ST,CPD,2023-05-28T05:56:33Z,0156,"Headley, Someya",300 E MAIN ST Charlottesville VA,-78.4799451,38.03010380000001
3492,Domestic Disturbance,202300017798,200,"5TH ST SW, C",CPD,2023-05-28T03:41:15Z,2341,"Curry, Brian","200 5TH ST SW, C Charlottesville VA",-78.4880474,38.030252
3493,Assault Aggravated,202300017794,700,PROSPECT AVE,CPD,2023-05-28T02:42:18Z,2242,"Bentz, Benjamin ",700 PROSPECT AVE Charlottesville VA,-78.49439579999999,38.0246386
3494,Unauthorized Use of Motor Veh,202300017790,100,"CARLTON RD, C",CPD,2023-05-28T02:12:23Z,2212,"Darby, Michael","100 CARLTON RD, C Charlottesville VA",-78.4685633,38.0266945
3495,Hit and Run,202300017774,1600,"RICKY RD, B",CPD,2023-05-28T00:40:44Z,2040,"Lowe, Courteny","1600 RICKY RD, B Charlottesville VA",-78.5020887,38.0604524
3496,Vandalism,202300017754,700,WALKER,CPD,2023-05-27T19:46:38Z,1546,"Houchens, Jamell",700 WALKER Charlottesville VA,-78.491044,38.0302217
3497,Larceny - Theft from Building,202380000400,1900,"JEFFERSON PARK AVE, 35",CPD,2023-05-27T19:21:46Z,1521,"Moje, Ashley","1900 JEFFERSON PARK AVE, 35 Charlottesville VA",-78.5111263,38.0272194
3498,Vandalism,202300017750,700,"WALKER, B1",CPD,2023-05-27T18:56:39Z,1456,"Houchens, Jamell","700 WALKER, B1 Charlottesville VA",-78.491044,38.0302217
3499,Lost/FoundProperty,202380000399,1100,EMMET ST N,CPD,2023-05-27T18:36:24Z,1436,"Moje, Ashley",1100 EMMET ST N Charlottesville VA,-78.50152299999999,38.0516392
3500,Larceny - From Motor Vehicle,202300017746,1500,"CHERRY AVE, A",CPD,2023-05-27T18:03:12Z,1403,"Green, Bryan","1500 CHERRY AVE, A Charlottesville VA",-78.503258399999993,38.0239846
3501,Hit and Run,202300017735,200,W WATER ST,CPD,2023-05-27T14:39:31Z,1039,"Eckenroth, Rachel",200 W WATER ST Charlottesville VA,-78.4829115,38.0301933
3502,Misc - Non-Criminal Call,202300017656,800,"HARDY DR, B",CPD,2023-05-27T00:52:09Z,2052,"Venereo, Arturo","800 HARDY DR, B Charlottesville VA",-78.4904109,38.0332508
3504,Motor Vehicle Theft,202300017647,800,"W MAIN ST, 610",CPD,2023-05-26T22:43:08Z,1843,"Venereo, Arturo","800 W MAIN ST, 610 Charlottesville VA",-78.4903331,38.0314795
3505,Animal - Bite,202300017606,800,CONCORD AVE,CPD,2023-05-26T16:53:08Z,1253,"Houchens, Jamell",800 CONCORD AVE Charlottesville VA,-78.4852119,38.0390585
3506,Larceny - From Motor Vehicle,202380000398,1000,DRUID AVE,CPD,2023-05-26T13:16:30Z,0916,"Moje, Ashley",1000 DRUID AVE Charlottesville VA,-78.4777474,38.0172974
3507,Larceny - From Motor Vehicle,202380000397,800,DRUID AVE,CPD,2023-05-26T12:37:02Z,0837,"Miller, Tiffany ",800 DRUID AVE Charlottesville VA,-78.4807682,38.0186976
3508,Disorderly Conduct,202300017574,900,CHARLTON AVE,CPD,2023-05-26T12:05:30Z,0805,"Houchens, Jamell",900 CHARLTON AVE Charlottesville VA,-78.48724639999999,38.0382901
3509,Hit and Run,202300017570,100,SEMINOLE CT,CPD,2023-05-26T10:53:54Z,0653,"Turner, Devon",100 SEMINOLE CT Charlottesville VA,-78.48811669999999,38.065768
3510,Larceny - From Motor Vehicle,202300017566,100,MONTICELLO AVE,CPD,2023-05-26T09:55:15Z,0555,"Blackwell, Ryan",100 MONTICELLO AVE Charlottesville VA,-78.47539429999999,38.0251039
3511,Assist Citizen - Mental/TDO/ECO,202300017549,200,E MARKET ST,CPD,2023-05-26T06:03:10Z,0203,"Wells, Matthew",200 E MARKET ST Charlottesville VA,-78.48036689999999,38.0311044
3512,Larceny - Shoplifitng,202300017523,1100,5TH ST SW,CPD,2023-05-25T23:17:32Z,1917,"Alfonso, Sean",1100 5TH ST SW Charlottesville VA,-78.497806,38.01713
3513,Larceny - Shoplifitng,202300017518,1100,5TH ST SW,CPD,2023-05-25T22:31:14Z,1831,"Alfonso, Sean",1100 5TH ST SW Charlottesville VA,-78.497806,38.01713
3514,Suspicious Activity,202300017516,800,FOREST ST,CPD,2023-05-25T22:00:53Z,1800,"Lowe, Courteny",800 FOREST ST Charlottesville VA,-78.4862003,38.0376347
3515,Larceny - All Other,202300017521,200,E MAIN ST,CPD,2023-05-25T21:43:33Z,1743,"Aguilera, Natalia",200 E MAIN ST Charlottesville VA,-78.4807636,38.0305724
3516,Larceny - Shoplifitng,202300017512,100,1ST ST S,CPD,2023-05-25T21:15:01Z,1715,"Aguilera, Natalia",100 1ST ST S Charlottesville VA,-78.4817322,38.0303099
3517,Disorderly Conduct,202300017510,100,"E MAIN ST, A",CPD,2023-05-25T20:08:55Z,1608,"Aguilera, Natalia","100 E MAIN ST, A Charlottesville VA",-78.4815213,38.0305249
3518,Assault Intimidation,202300017470,700,"RIDGE ST, A",CPD,2023-05-25T13:00:53Z,0900,"Pendleton, Eric","700 RIDGE ST, A Charlottesville VA",-78.4898523,38.0245196
3519,Hit and Run,202300017460,1000,PAGE ST,CPD,2023-05-25T10:28:39Z,0628,"Payne, Katherine",1000 PAGE ST Charlottesville VA,-78.4938136,38.0351746
3521,Lost/FoundProperty,202380000396,100,"CHANCELLOR ST, 5",CPD,2023-05-25T05:28:45Z,0128,"Miller, Tiffany ","100 CHANCELLOR ST, 5 Charlottesville VA",-78.5014644,38.0359935
3522,Trespass,202300017440,1800,HYDRAULIC RD,CPD,2023-05-25T03:42:02Z,2342,"Middleton, Matthew",1800 HYDRAULIC RD Charlottesville VA,-78.4903882,38.0602047
3523,Larceny - Shoplifitng,202300017420,1100,5TH ST SW,CPD,2023-05-25T00:55:20Z,2055,"Alfonso, Sean",1100 5TH ST SW Charlottesville VA,-78.497806,38.01713
